time_s,vehicles_in_network,mean_speed_km_h,total_waiting_time_s,total_time_loss_s,stopped_vehicles,reward,action_J1,action_J2,action_J3
1710.0,24,12.43576667733075,41.0,346.61624520663,5,-15.620000000000001,0,0,0
1715.0,20,20.44328208010306,24.0,334.41122753640013,5,-14.48,1,0,0
1720.0,25,23.821402022478416,18.0,286.3134052159976,2,-9.36,1,1,0
1725.0,23,20.226014324185382,8.0,237.82255437901375,7,-18.76,1,0,0
1730.0,24,7.161015463281451,37.0,229.90685202542673,7,-19.54,0,1,0
1735.0,23,13.157456177363628,73.0,288.5637233014564,11,-28.060000000000002,0,0,1
1740.0,17,6.055950168873,40.0,311.450902996746,6,-16.200000000000003,0,0,0
1745.0,25,22.50691164006665,13.0,339.9875093272874,4,-13.26,1,0,0
1750.0,22,22.622421461080137,10.0,284.3707674302742,4,-12.6,1,1,0
1755.0,25,22.624901939756047,18.0,216.82416656615342,4,-13.36,1,0,0
1760.0,21,13.447787234064261,24.0,223.4343854615733,8,-20.68,0,1,0
1765.0,23,2.6573294224986226,68.0,237.60564442083017,18,-41.96,0,0,1
1770.0,23,11.210276797674336,41.0,307.4726064361718,6,-17.42,0,0,0
1775.0,21,20.85259663755709,18.0,364.0357756035172,5,-14.559999999999999,1,0,0
1780.0,25,24.1738104425338,16.0,270.18487694866593,3,-11.32,1,1,0
1785.0,22,19.50009089813931,9.0,205.16946792034904,7,-18.58,1,0,0
1790.0,24,6.459012286369108,39.0,210.30880750342757,10,-25.580000000000002,0,1,0
1795.0,23,13.466202401487495,73.0,269.44250310850606,11,-28.060000000000002,0,0,1
1800.0,17,7.0693401529162845,43.0,290.90272986854217,7,-18.259999999999998,0,0,0
1805.0,25,23.745440201115194,13.0,365.17457664476245,3,-11.26,1,0,0
1810.0,22,22.080668362095622,14.0,278.2514749908885,5,-14.68,1,1,0
1815.0,26,23.84300835470598,26.0,236.05388615408793,4,-13.719999999999999,1,0,0
1820.0,21,12.752137984013107,35.0,228.93560709128892,8,-20.9,0,1,0
1825.0,23,3.851292153355061,65.0,246.21308520858025,18,-41.9,0,0,1
1830.0,23,13.918710988876576,39.0,304.89640676564863,5,-15.379999999999999,0,0,0
1835.0,19,24.23623553818272,36.0,300.2100152676155,5,-14.520000000000001,1,0,0
1840.0,23,20.892966986190014,20.0,239.757040670811,2,-9.0,1,1,0
1845.0,21,22.95990001188705,7.0,194.469561713287,6,-16.34,1,0,0
1850.0,22,7.385702726825174,23.0,190.57923814668158,7,-18.86,0,1,0
1855.0,21,14.219550315255551,53.0,228.02349409543962,10,-25.259999999999998,0,0,1
1860.0,15,6.540158740654082,55.0,243.74113289321053,7,-18.1,0,0,0
1865.0,23,20.533528548325464,39.0,284.1712792317829,5,-15.379999999999999,1,0,0
1870.0,23,19.87718211467341,19.0,313.5873145838519,6,-16.98,1,1,0
1875.0,25,23.319114015326928,25.0,234.67832205161898,4,-13.5,1,0,0
1880.0,22,12.40387284312363,26.0,252.61379126037954,6,-16.92,0,1,0
1885.0,24,3.081332790258804,60.0,273.99926319938555,19,-44.0,0,0,1
1890.0,24,12.177541599211251,46.0,347.17300319216486,6,-17.72,0,0,0
1895.0,20,20.896981420353658,22.0,331.6693853049498,5,-14.44,1,0,0
1900.0,25,24.88576065526716,16.0,281.0631334041604,2,-9.32,1,1,0
1905.0,24,21.75446044022183,9.0,244.59810752745844,7,-18.98,1,0,0
1910.0,23,4.900839238822222,37.0,223.31474265822624,8,-21.34,0,1,0
1915.0,24,14.473312668421793,69.0,298.16290400782214,11,-28.18,0,0,1
1920.0,17,6.323047432415377,39.0,308.3020402342298,6,-16.18,0,0,0
1925.0,25,24.54793763222252,17.0,334.99926812263334,4,-13.34,1,0,0
1930.0,21,18.762431898872826,12.0,257.0176552784528,4,-12.440000000000001,1,1,0
1935.0,23,20.68623731591762,18.0,180.98598781411474,4,-12.96,1,0,0
1940.0,20,11.276106339881583,24.0,198.16920019881618,7,-18.48,0,1,0
1945.0,23,2.337935890770142,67.0,217.05561748596548,17,-39.940000000000005,0,0,1
1950.0,23,9.88750235188576,46.0,287.0985865637051,7,-19.52,0,0,0
1955.0,21,19.849707962915204,20.0,343.0564586111244,5,-14.600000000000001,1,0,0
1960.0,26,24.292844722261375,18.0,300.49139458546546,3,-11.56,1,1,0
1965.0,23,20.855517268980012,7.0,221.97909017667584,7,-18.740000000000002,1,0,0
1970.0,24,7.635186084493562,35.0,207.84147444961656,9,-23.5,0,1,0
1975.0,23,13.409782124107215,71.0,267.4343100668715,11,-28.020000000000003,0,0,1
1980.0,17,7.122977220463476,41.0,288.9144961625815,7,-18.22,0,0,0
1985.0,23,24.025310988409615,12.0,277.1331732189928,3,-10.84,1,0,0
1990.0,20,20.364348063433823,12.0,245.17406327864092,4,-12.24,1,1,0
1995.0,23,24.55590658264118,19.0,187.69904743428154,4,-12.98,1,0,0
2000.0,19,14.457038612009612,20.0,178.59036758981617,6,-16.2,0,1,0
2005.0,22,5.358966217497194,58.0,205.96803934193878,17,-39.559999999999995,0,0,1
2010.0,22,13.634938638660966,43.0,262.80206572085876,5,-15.26,0,0,0
2015.0,18,21.462709892585004,30.0,262.0051183040174,5,-14.2,1,0,0
2020.0,24,22.912143232479448,17.0,262.4920077042199,2,-9.14,1,1,0
2025.0,22,23.13910831505795,10.0,234.81339986819768,7,-18.6,1,0,0
2030.0,22,5.093528771914931,34.0,200.74639198683465,8,-21.08,0,1,0
2035.0,22,13.349304333436164,65.0,261.662765725962,11,-27.700000000000003,0,0,1
2040.0,16,6.292654419274685,49.0,283.24570625411013,7,-18.18,0,0,0
2045.0,23,21.219040013432142,20.0,280.42338809334854,4,-13.0,1,0,0
2050.0,22,23.253665609748797,13.0,301.08882737737395,4,-12.66,1,1,0
2055.0,24,22.492712259367362,18.0,217.57162301014617,3,-11.16,1,0,0
2060.0,22,13.060471518322611,19.0,255.1564041150714,7,-18.78,0,1,0
2065.0,23,3.197360063313407,63.0,257.28257835681893,18,-41.86,0,0,1
2070.0,23,11.221388783896654,40.0,327.6267585619386,5,-15.400000000000002,0,0,0
2075.0,19,19.35921713335785,23.0,297.2828143474014,5,-14.260000000000002,1,0,0
2080.0,25,23.806743998918083,17.0,288.95190858813083,2,-9.34,1,1,0
2085.0,23,20.719137758469916,11.0,236.40481827838184,7,-18.82,1,0,0
2090.0,24,8.048723707026609,34.0,225.78437203166033,7,-19.48,0,1,0
2095.0,23,13.337692834881967,74.0,286.148961986541,13,-32.08,0,0,1
2100.0,17,5.9934200982313675,42.0,310.75314110630933,6,-16.240000000000002,0,0,0
2105.0,24,23.075005098351426,16.0,295.92880122369473,4,-13.120000000000001,1,0,0
2110.0,23,18.828757711797774,18.0,262.4288063683614,6,-16.96,1,1,0
2115.0,27,22.13918581552419,33.0,230.91555093716772,5,-16.060000000000002,1,0,0
2120.0,23,11.116628069691336,47.0,237.20872464294817,10,-25.540000000000003,0,1,0
2125.0,25,5.648190809923315,60.0,264.1984207771664,17,-40.2,0,0,1
2130.0,22,11.604638414915737,45.0,267.0879285710566,5,-15.3,0,0,0
2135.0,20,20.57416160972669,37.0,320.7669875645568,7,-18.740000000000002,1,0,0
2140.0,25,20.92334572707223,18.0,278.7141332842717,3,-11.36,1,1,0
2145.0,23,21.403379811302752,10.0,245.57497051734774,8,-20.8,1,0,0
2150.0,23,4.8669073439469415,30.0,211.02175546496454,7,-19.2,0,1,0
2155.0,24,13.859391680098085,63.0,288.11167389272225,12,-30.060000000000002,0,0,1
2160.0,17,5.671079200509291,43.0,298.2133830333265,7,-18.259999999999998,0,0,0
2165.0,25,22.130578549447925,24.0,330.3320126724853,5,-15.48,1,0,0
2170.0,22,21.883357893569165,12.0,292.7807075431121,6,-16.64,1,1,0
2175.0,24,22.201082697886775,23.0,218.78917498190208,4,-13.260000000000002,1,0,0
2180.0,22,13.78183302521431,29.0,255.0757160331607,7,-18.98,0,1,0
2185.0,24,5.449998612577819,60.0,277.4644225064684,18,-42.0,0,0,1
2190.0,22,11.963059829323203,51.0,304.29063085104593,7,-19.42,0,0,0
2195.0,18,18.674294095905744,33.0,277.9243032510046,5,-14.26,1,0,0
2200.0,25,24.23699459155397,20.0,302.33258180329835,2,-9.4,1,1,0
2205.0,22,20.349789503982944,10.0,234.2228156733413,6,-16.6,1,0,0
2210.0,25,8.292673741959907,32.0,264.18170547201584,8,-21.64,0,1,0
2215.0,23,13.118164828279737,74.0,302.816153564511,12,-30.080000000000002,0,0,1
2220.0,19,11.282942442089267,52.0,364.71622007765615,7,-18.84,0,0,0
2225.0,25,23.46576810641852,19.0,362.19215424235637,4,-13.38,1,0,0
2230.0,23,20.192851960189433,15.0,308.4990571655778,5,-14.900000000000002,1,1,0
2235.0,26,22.8783836932111,29.0,254.64880680285938,5,-15.780000000000001,1,0,0
2240.0,22,12.705221884004938,39.0,257.94124817436034,8,-21.18,0,1,0
2245.0,24,2.933071902936616,69.0,278.77069084456633,18,-42.18000000000001,0,0,1
2250.0,24,12.632082538855851,44.0,339.77602999347675,6,-17.68,0,0,0
2255.0,19,20.171760152689437,25.0,295.12225205353195,4,-12.3,1,0,0
2260.0,25,23.55542255459233,19.0,290.72585775769284,2,-9.379999999999999,1,1,0
2265.0,23,21.73222652812548,12.0,238.1616813720358,7,-18.84,1,0,0
2270.0,24,7.927045481128849,38.0,231.39696747158445,8,-21.560000000000002,0,1,0
2275.0,23,11.41080859702518,73.0,290.6275039876174,12,-30.060000000000002,0,0,1
2280.0,18,7.438236268390465,45.0,318.20301786423744,7,-18.5,0,0,0
2285.0,25,23.234630921643586,16.0,338.6230495323889,3,-11.32,1,0,0
2290.0,21,22.363050241305473,10.0,248.815509171398,4,-12.399999999999999,1,1,0
